Cluster,uplift_score,cluster
1,0.8907035983413303,1
2,0.7461542945773187,2
1,0.8118308621374157,1
1,0.826093104090661,1
1,0.8212108608074637,1
1,0.793255160388936,1
1,0.834529498787066,1
3,0.8178576328254101,3
1,0.840999302208864,1
3,0.8947353981170132,3
3,0.8565050033807893,3
3,0.8317532158445777,3
1,0.8319302614247346,1
1,0.8683566760486763,1
3,0.7922563552860007,3
1,0.781186476285946,1
3,0.8001762824577572,3
0,0.7951029669737582,0
3,0.879559447905363,3
2,0.7784287219539712,2
3,0.8956018334657505,3
3,0.8849873295766091,3
1,0.8237993381285085,1
1,0.8623029145722936,1
3,0.8715714839128483,3
1,0.8788087311783637,1
1,0.8588701406636494,1
1,0.8121106637725402,1
1,0.9113185383969136,1
1,0.8430612505077426,1
3,0.8509998362316034,3
3,0.8886756305837924,3
1,0.7847212881774213,1
1,0.8870042734834931,1
3,0.8679717009418559,3
3,0.7841599309995124,3
3,0.868903493816839,3
1,0.8992019036637544,1
1,0.758480228966173,1
2,0.7605958932579324,2
2,0.7536828183807611,2
1,0.7843847729086417,1
1,0.8948724221719031,1
2,0.7771232979081482,2
3,0.7906867043663199,3
1,0.8882019226055908,1
3,0.906149268756482,3
0,0.7474247086851427,0
1,0.8305393183812497,1
3,0.8445543568843823,3
3,0.8967068372275819,3
1,0.8252026327369903,1
1,0.8193364931004665,1
2,0.7711735938564801,2
3,0.7759776317277336,3
3,0.8851435601004249,3
1,0.7618030164753535,1
3,0.821706978261949,3
1,0.8611553755425694,1
1,0.8330856325947358,1
3,0.7536861619847652,3
0,0.7459570870051146,0
1,0.8034544061618845,1
1,0.8909133394103899,1
1,0.8645595139047939,1
1,0.7971123144020189,1
1,0.8927483046858555,1
1,0.8969714123113959,1
1,0.8242039356974451,1
1,0.8229775530258978,1
1,0.8603315188831184,1
3,0.8564621339688672,3
2,0.7422912617373181,2
1,0.8478762032857636,1
1,0.8115381061946889,1
3,0.8887681324435186,3
1,0.8355016436938612,1
2,0.7672909777467773,2
1,0.8616922703287957,1
2,0.7672856976129623,2
0,0.766313482971599,0
2,0.7444925954523995,2
3,0.7878547371700639,3
1,0.8560403292733247,1
